translation,ayah_number,surah_number,sentence,en-tafsir-mokhtasar-html
"O YOU WHO believe, do not forestall the judgements of God and His Apostle, and have fear of God. Verily God hears all and knows everything.",0,49,بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ لَا تُقَدِّمُوا۟ بَيْنَ يَدَىِ ٱللَّهِ وَرَسُولِهِۦ وَٱتَّقُوا۟ ٱللَّهَ إِنَّ ٱللَّهَ سَمِيعٌ عَلِيمٌ,"O those who have faith in Allah and follow whatever He legislates! Do not precede Allah or His Messenger in speech or action, and be mindful of Allah by fulfilling His commands and refrain from that which He has prohibited. Indeed, Allah is hearing of your statements, aware of your actions. He does not miss any of them and will soon requite you for them."
"O you who believe, do not raise your voices above the voice of the Prophet, and do not speak loudly to him as you do with one another lest your deeds are nullified unconsciously.",1,49,يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ لَا تَرْفَعُوٓا۟ أَصْوَٰتَكُمْ فَوْقَ صَوْتِ ٱلنَّبِىِّ وَلَا تَجْهَرُوا۟ لَهُۥ بِٱلْقَوْلِ كَجَهْرِ بَعْضِكُمْ لِبَعْضٍ أَن تَحْبَطَ أَعْمَٰلُكُمْ وَأَنتُمْ لَا تَشْعُرُونَ,"O those who have faith in Allah and follow whatever He legislates! Show good manners with His Messenger: do not raise your voices in his presence nor speak loudly to him out of respect for him, like you raise your voices to each other whilst talking to them. It is feared that the rewards of your deeds are nullified if you do so, whilst you do not realise they have been nullified."
"They who speak in a low voice in the presence of God's Apostle, have had their hearts tried by God for reverence. There is forgiveness for them and a great reward.",2,49,إِنَّ ٱلَّذِينَ يَغُضُّونَ أَصْوَٰتَهُمْ عِندَ رَسُولِ ٱللَّهِ أُو۟لَٰٓئِكَ ٱلَّذِينَ ٱمْتَحَنَ ٱللَّهُ قُلُوبَهُمْ لِلتَّقْوَىٰ لَهُم مَّغْفِرَةٌ وَأَجْرٌ عَظِيمٌ,"Indeed, those who lower their voices near the Messenger of Allah (peace be upon him), they are the ones whose hearts Allah has examined for His consciousness, and chosen them for it. For them is forgiveness for their sins; they will not be accounted for them, and they will receive a great reward on the Day of Judgement, which will be that Allah enters them into Paradise."
Many of those who call you from outside the apartments are not considerate.,3,49,إِنَّ ٱلَّذِينَ يُنَادُونَكَ مِن وَرَآءِ ٱلْحُجُرَٰتِ أَكْثَرُهُمْ لَا يَعْقِلُونَ,"O Messenger! Indeed, those bedouins who call out to you from behind the dwellings of your wives, the majority of them do not understand, so do not worry about them, because if they were understanding, they would surely show good manners to you and would definitely wait until you came out to them. Then, when you came out to them, they would speak to you about their matters by lowering their voices. However, most of them have not yet understood this."
If they had waited for you to come out it would have been better for them. But God is forgiving and kind.,4,49,وَلَوْ أَنَّهُمْ صَبَرُوا۟ حَتَّىٰ تَخْرُجَ إِلَيْهِمْ لَكَانَ خَيْرًا لَّهُمْ وَٱللَّهُ غَفُورٌ رَّحِيمٌ,"O Messenger! If these people who call out to you from behind the dwellings of your wives were to have waited and not called out to you until you came out to them, then talked to you in lowered voices, it would have been better for them than calling out to you from behind the dwellings, because it would have been more dignified and respectful. And Allah Forgiving of the sins of those of them who repent, and others. He Forgiving of them due to their ignorance, and is merciful to them."
"O you who believe, if a dissolute person brings some news, verify it first lest you attack a people ignorantly and later regret what you had done.",5,49,يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓا۟ إِن جَآءَكُمْ فَاسِقٌۢ بِنَبَإٍ فَتَبَيَّنُوٓا۟ أَن تُصِيبُوا۟ قَوْمًۢا بِجَهَٰلَةٍ فَتُصْبِحُوا۟ عَلَىٰ مَا فَعَلْتُمْ نَٰدِمِينَ,"O those who have faith in Allah and act upon whatever He legislates! If a wrongdoer brings some news about a group of people to you, then verify the truth of that news and do not hasten towards accepting it, in fear that if you accept it without verifying it, you could harm a group of people ignorantly. Then after having harmed them, you will regret it when the falsehood of the news becomes clear to you."
"Know that the Apostle of God is among you: If he agreed with you in most matters you would surely come to grief. But God has made faith more desirable to you, and attractive to your hearts, and rendered disbelief and sin and disobedience repugnant. They are those who are well directed",6,49,وَٱعْلَمُوٓا۟ أَنَّ فِيكُمْ رَسُولَ ٱللَّهِ لَوْ يُطِيعُكُمْ فِى كَثِيرٍ مِّنَ ٱلْأَمْرِ لَعَنِتُّمْ وَلَٰكِنَّ ٱللَّهَ حَبَّبَ إِلَيْكُمُ ٱلْإِيمَٰنَ وَزَيَّنَهُۥ فِى قُلُوبِكُمْ وَكَرَّهَ إِلَيْكُمُ ٱلْكُفْرَ وَٱلْفُسُوقَ وَٱلْعِصْيَانَ أُو۟لَٰٓئِكَ هُمُ ٱلرَّٰشِدُونَ,"O believers! Know that amongst you is the Messenger of Allah upon whom revelation descends, so beware of lying in case he receives revelation informing him of your lying. He is better aware of your needs; if he was to obey you in many of the things you suggest, you would surely fall into difficulty which he would not want for you. However, Allah has, through His grace, made faith beloved to you and has beautified it for your hearts and so you accepted it, while making you hate disbelief, disobedience and sin. Those who possess these qualities are the ones who are treading the path of correctness and righteousness."
By God's benevolence and His grace. God is all-knowing and all-wise.,7,49,فَضْلًا مِّنَ ٱللَّهِ وَنِعْمَةً وَٱللَّهُ عَلِيمٌ حَكِيمٌ,The beautification of goodness and hating of evil that you have achieved is only through the grace of Allah which He bestowed upon you and favoured you with. And Allah is aware of those of His servants who are grateful to Him and so He gives them the ability; He is Wise in that He places each thing in its appropriate place.
"If two groups of believers come to fight one another, promote peace between them. Then if one of them turns aggressive against the other, fight against the aggressive party till it returns to God's authority. If it does so, make peace among them equitably and be impartial. Verily God loves those who are just.",8,49,وَإِن طَآئِفَتَانِ مِنَ ٱلْمُؤْمِنِينَ ٱقْتَتَلُوا۟ فَأَصْلِحُوا۟ بَيْنَهُمَا فَإِنۢ بَغَتْ إِحْدَىٰهُمَا عَلَى ٱلْأُخْرَىٰ فَقَٰتِلُوا۟ ٱلَّتِى تَبْغِى حَتَّىٰ تَفِىٓءَ إِلَىٰٓ أَمْرِ ٱللَّهِ فَإِن فَآءَتْ فَأَصْلِحُوا۟ بَيْنَهُمَا بِٱلْعَدْلِ وَأَقْسِطُوٓا۟ إِنَّ ٱللَّهَ يُحِبُّ ٱلْمُقْسِطِينَ,"O believers! If two groups of believers quarrel with one another, then reconcile between them by inviting them to let the law of Allah be the judgement between them. Then, if one of the two reject the reconciliation and transgresses, fight the transgressing group until it returns to accepting the command of Allah. If it returns, reconcile between the two groups with fairness and justice. And be fair in your judgement between them, indeed, Allah loves those who are fair in their judgement."
"The faithful are surely brothers; so restore friendship among your brothers, and fear God that you may be favoured.",9,49,إِنَّمَا ٱلْمُؤْمِنُونَ إِخْوَةٌ فَأَصْلِحُوا۟ بَيْنَ أَخَوَيْكُمْ وَٱتَّقُوا۟ ٱللَّهَ لَعَلَّكُمْ تُرْحَمُونَ,"The believers are brothers in Islam, and brotherhood in Islam demands that you, O believers, reconcile between your quarrelling brothers. And be mindful of Allah by fulfilling His commands and refrain from that which He has prohibited; in the hope that you will be shown mercy."
"O you who believe, men should not laugh at other men, for it may be they are better than them; and women should not laugh at other women, for they may perhaps be better than them. Do not slander one another, nor give one another nick-names. After believing, it is bad to give (another) a bad name. Those who do not repent behave wickedly.",10,49,يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ لَا يَسْخَرْ قَوْمٌ مِّن قَوْمٍ عَسَىٰٓ أَن يَكُونُوا۟ خَيْرًا مِّنْهُمْ وَلَا نِسَآءٌ مِّن نِّسَآءٍ عَسَىٰٓ أَن يَكُنَّ خَيْرًا مِّنْهُنَّ وَلَا تَلْمِزُوٓا۟ أَنفُسَكُمْ وَلَا تَنَابَزُوا۟ بِٱلْأَلْقَٰبِ بِئْسَ ٱلِٱسْمُ ٱلْفُسُوقُ بَعْدَ ٱلْإِيمَٰنِ وَمَن لَّمْ يَتُبْ فَأُو۟لَٰٓئِكَ هُمُ ٱلظَّٰلِمُونَ,"O those who have faith in Allah and act upon what He has legislated! A group of you should not mock another; perhaps those that have been mocked are better according to Allah. True consideration is only for what Allah considers. And a group of women should not mock another group of women; perhaps the group mocked at is better according to Allah. Do not taunt the souls of your brothers, because they are like your own souls, and do not call others with names they do not like - as was the case of a few of the Anṣār before the arrival of the Messenger of Allah (peace be upon him). Whoever does that is a wrongdoer, and deviance is a very bad trait after having brought faith. Whoever does not repent from these sins are oppressing themselves by placing themselves in situations of destruction due to the sins they commit."
"O you who believe, avoid most suspicions: Some suspicions are indeed sins. So do not pry into others' secrets and do not backbite. Would any of you like to eat a dead brother's flesh? You would surely be revolted by it Then fear God. He is certainly forgiving and kind.",11,49,يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ ٱجْتَنِبُوا۟ كَثِيرًا مِّنَ ٱلظَّنِّ إِنَّ بَعْضَ ٱلظَّنِّ إِثْمٌ وَلَا تَجَسَّسُوا۟ وَلَا يَغْتَب بَّعْضُكُم بَعْضًا أَيُحِبُّ أَحَدُكُمْ أَن يَأْكُلَ لَحْمَ أَخِيهِ مَيْتًا فَكَرِهْتُمُوهُ وَٱتَّقُوا۟ ٱللَّهَ إِنَّ ٱللَّهَ تَوَّابٌ رَّحِيمٌ,"O those who have faith in Allah and act upon what He has legislated! Stay away from most suspicions which are not based on causes and indications that give them credence, because some suspicions are sinful, like suspecting one who is apparently pious. And do not persue the faults of believers behind their backs, nor mention another in a manner he dislikes, because mentioning him in a manner he dislikes is like eating his flesh whilst he is dead. Do any of you wish to eat the flesh of his dead brother? Therefore, abhor backbiting him because it is like that. And be mindful of Allah by fulfilling His commands and refrain from that which He has prohibited. Indeed, Allah Forgiving of those of His servants who repent; merciful to them."
"O men, We created you from a male and female, and formed you into nations and tribes that you may recognise each other. He who has more integrity has indeed greater honour with God. Surely God is all-knowing and well-informed.",12,49,يَٰٓأَيُّهَا ٱلنَّاسُ إِنَّا خَلَقْنَٰكُم مِّن ذَكَرٍ وَأُنثَىٰ وَجَعَلْنَٰكُمْ شُعُوبًا وَقَبَآئِلَ لِتَعَارَفُوٓا۟ إِنَّ أَكْرَمَكُمْ عِندَ ٱللَّهِ أَتْقَىٰكُمْ إِنَّ ٱللَّهَ عَلِيمٌ خَبِيرٌ,"O people! Indeed, I have created you from one male: your father Adam, and one female: your mother Eve. Therefore, your lineage is the same, so some of you should not take pride in lineage over others. Then, I made you into many nations and dispersed tribes, so that you may recognise one another; not so that you take pride in them, because pride can only be due to Allah-consciousness; Indeed, the most noble from among you according to Allah is the one who is most mindful of Him. Indeed, Allah is aware of your conditions, knowing of what levels of perfection and deficiency you are on; nothing is hidden from him."
"The Arabs of the desert say: ""We believe."" Tell them: ""You do not believe. Better say: 'We submit'; for belief has not yet penetrated your hearts."" If you begin to obey God and His Apostle, He will not withhold the least (of the recompense) of your labour. Verily God is forgiving and kind.""",13,49,قَالَتِ ٱلْأَعْرَابُ ءَامَنَّا قُل لَّمْ تُؤْمِنُوا۟ وَلَٰكِن قُولُوٓا۟ أَسْلَمْنَا وَلَمَّا يَدْخُلِ ٱلْإِيمَٰنُ فِى قُلُوبِكُمْ وَإِن تُطِيعُوا۟ ٱللَّهَ وَرَسُولَهُۥ لَا يَلِتْكُم مِّنْ أَعْمَٰلِكُمْ شَيْـًٔا إِنَّ ٱللَّهَ غَفُورٌ رَّحِيمٌ,"When some of the bedouins came to the Prophet (peace be upon him), they said, “We have brought faith in Allah and His Messenger.” O Messenger! Say to them: “You have not brought faith, instead, say: “We have submitted and obeyed”. Faith has not yet entered your hearts; it is hoped that it does enter. O bedouins! If you obey Allah and His Messenger in faith, in doing good deeds, and in refraining from the unlawful, Allah will not decrease the reward of your deeds in the slightest. Indeed, Allah Forgiving of those of His servants who repent and is merciful to them.”"
"They alone are believers who come to believe in God and His Apostle, then never doubt again, and struggle wealth and soul in the way of God. They are the truthful and sincere.",14,49,إِنَّمَا ٱلْمُؤْمِنُونَ ٱلَّذِينَ ءَامَنُوا۟ بِٱللَّهِ وَرَسُولِهِۦ ثُمَّ لَمْ يَرْتَابُوا۟ وَجَٰهَدُوا۟ بِأَمْوَٰلِهِمْ وَأَنفُسِهِمْ فِى سَبِيلِ ٱللَّهِ أُو۟لَٰٓئِكَ هُمُ ٱلصَّٰدِقُونَ,"The believers are only those who have faith in Allah and His Messenger, and then do not pollute their faith with doubts and strive in the way of Allah with their wealth and souls, not holding back on anything. Those are the ones truthful in their faith."
"Say: ""Are you trying to convince God of your faithfulness? But God knows all there is in the heavens and the earth, for God has knowledge of everything.""",15,49,قُلْ أَتُعَلِّمُونَ ٱللَّهَ بِدِينِكُمْ وَٱللَّهُ يَعْلَمُ مَا فِى ٱلسَّمَٰوَٰتِ وَمَا فِى ٱلْأَرْضِ وَٱللَّهُ بِكُلِّ شَىْءٍ عَلِيمٌ,"O Messenger! Say to these bedouins: “Are you teaching Allah and informing Him about your religion, whilst Allah knows all that is in the heavens and on earth; He knows everything and nothing is hidden from him, so He does not need you to inform Him about your religion.”"
"They impress upon you that they have submitted. Tell them: ""Do not favour me with your submission. In fact God has favoured you by showing you the way to belief, if you are men of truth.""",16,49,يَمُنُّونَ عَلَيْكَ أَنْ أَسْلَمُوا۟ قُل لَّا تَمُنُّوا۟ عَلَىَّ إِسْلَٰمَكُم بَلِ ٱللَّهُ يَمُنُّ عَلَيْكُمْ أَنْ هَدَىٰكُمْ لِلْإِيمَٰنِ إِن كُنتُمْ صَٰدِقِينَ,"O Messenger! These bedouins recount their favour upon you by mentioning their Islam. Say to them: “Do not recount your entering the religion of Allah as a favour upon me; its benefit - if achieved - will return to you alone. Rather, it is Allah who recounts His favour upon you that He granted you the ability to enter into His religion, if indeed, you are truthful in your claim that you have entered into it.”"
Verily God knows the unknown of the heavens and the earth; and God perceives all you do.,17,49,إِنَّ ٱللَّهَ يَعْلَمُ غَيْبَ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضِ وَٱللَّهُ بَصِيرٌۢ بِمَا تَعْمَلُونَ,"Indeed, Allah knows the Ghaib of the heavens and the earth; nothing is hidden from him. And Allah is watchful of your actions; none of them are hidden from Him, and He will soon requite you for the good and bad of your deeds."
QAF. I CALL to witness the glorious Qur'an.,0,50,بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ قٓ وَٱلْقُرْءَانِ ٱلْمَجِيدِ,"Qāf. The discussion on similar letters has already passed in Sūrah Al-Baqarah. Allah takes an oath on the noble Qur’ān because of the meanings, abundant goodness and blessings it contains. He takes an oath on that you shall surely be resurrected on the Day of Judgement for accountability and requital."
"They are rather surprised that a warner from among themselves has come to them. So the unbelievers say: ""This is astonishing:",1,50,بَلْ عَجِبُوٓا۟ أَن جَآءَهُم مُّنذِرٌ مِّنْهُمْ فَقَالَ ٱلْكَٰفِرُونَ هَٰذَا شَىْءٌ عَجِيبٌ,"The cause of their rejection was not that they expected you to lie, because they know your honesty. Rather, they are amazed that a warning messenger came to them from their own species, not from the angels. They say, in amazement, “A human messenger coming to us is a strange thing!”"
"When we are dead and turned to dust, this returning (to life) is most far-fetched.""",2,50,أَءِذَا مِتْنَا وَكُنَّا تُرَابًا ذَٰلِكَ رَجْعٌۢ بَعِيدٌ,"“Will we be resurrected after we have died and turned into dust? Resurrection, and life returning to our bodies after they have decomposed is a far-fetched thing; it is impossible it will happen.”"
"We know what the earth consumes of them, for We have the Book that preserves everything.",3,50,قَدْ عَلِمْنَا مَا تَنقُصُ ٱلْأَرْضُ مِنْهُمْ وَعِندَنَا كِتَٰبٌ حَفِيظٌۢ,"Verily, I know how much of their bodies the earth eats away after their death; it is not hidden from Me. I have a book that preserves everything I have decreed for them in their lives and after their deaths."
But no! They called the truth a lie when it came to them; so they are in a confused state.,4,50,بَلْ كَذَّبُوا۟ بِٱلْحَقِّ لَمَّا جَآءَهُمْ فَهُمْ فِىٓ أَمْرٍ مَّرِيجٍ,"Rather, these idolaters rejected the Qur’ān when His Messenger brought it to them. They are in uncertainty regarding it; they cannot stay firm on anything regarding it."
"Have they not looked at the sky above them, how We have fashioned and adorned it, and it has no flaw?",5,50,أَفَلَمْ يَنظُرُوٓا۟ إِلَى ٱلسَّمَآءِ فَوْقَهُمْ كَيْفَ بَنَيْنَٰهَا وَزَيَّنَّٰهَا وَمَا لَهَا مِن فُرُوجٍ,"Do these rejectors of the resurrection not ponder over the sky above them: how I created it, made it and adorned it with the stars I placed in it, and it does not have any cracks to spoil it? The being who created this sky is not incapable of resurrecting the dead alive."
We stretched the earth and placed upon it firm stabilisers and We made every kind of splendid thing to grow upon it,6,50,وَٱلْأَرْضَ مَدَدْنَٰهَا وَأَلْقَيْنَا فِيهَا رَوَٰسِىَ وَأَنۢبَتْنَا فِيهَا مِن كُلِّ زَوْجٍۭ بَهِيجٍ,"And I spread the earth in a manner fitting to live on, placing within it firm mountains so that it does not shake. I also caused all types of beautiful plants and trees to grown on it."
As instruction and reminder to every penitent creature.,7,50,تَبْصِرَةً وَذِكْرَىٰ لِكُلِّ عَبْدٍ مُّنِيبٍ,I created all that as an enlightenment and reminder for every servant who turns to his Lord in obedience.
"And We send down water as a blessing from the sky, and grow gardens with it and the grain for harvest,",8,50,وَنَزَّلْنَا مِنَ ٱلسَّمَآءِ مَآءً مُّبَٰرَكًا فَأَنۢبَتْنَا بِهِۦ جَنَّٰتٍ وَحَبَّ ٱلْحَصِيدِ,"And I send down rainwater from the sky, which contains abundant benefits and goodness. With that water, I then cause gardens to grow and the crops you harvest, i.e. barley etc."
And tall date-palms with their spathes pile on pile,9,50,وَٱلنَّخْلَ بَاسِقَٰتٍ لَّهَا طَلْعٌ نَّضِيدٌ,"I also cause tall date palms to grow, which have closely arranged minute flowers, one above the other."
"As a provision for men, and enlivened a region that was dead. Even thus will be the life after death.",10,50,رِّزْقًا لِّلْعِبَادِ وَأَحْيَيْنَا بِهِۦ بَلْدَةً مَّيْتًا كَذَٰلِكَ ٱلْخُرُوجُ,"I cause all that to grow, as provision for the servants so that they can eat from it. I also revive through the rainwater barren lands which have no growth, and just as I revive the barren earth I will also revive the dead who will emerge alive."
"The people of Noah, Ar-Rass and Thamud denied before you,",11,50,كَذَّبَتْ قَبْلَهُمْ قَوْمُ نُوحٍ وَأَصْحَٰبُ ٱلرَّسِّ وَثَمُودُ,"O Messenger! Before these people who have rejected you, many nations rejected their Prophets. The people of Noah, the people of The Well and the Thamud all denied their Prophets."
"As did the people of 'Ad and Pharaoh and the brethren of Lot,",12,50,وَعَادٌ وَفِرْعَوْنُ وَإِخْوَٰنُ لُوطٍ,"The Aad and people of Pharaoh, together with the people of Lot, all denied their Prophets."
And the dwellers of the Wood and people of Tubba'. Each of them denied the apostles. So My threat became a reality.,13,50,وَأَصْحَٰبُ ٱلْأَيْكَةِ وَقَوْمُ تُبَّعٍ كُلٌّ كَذَّبَ ٱلرُّسُلَ فَحَقَّ وَعِيدِ,"The people of Shu‘ayb: the people of the Thicket, also denied their Prophet. The punishment that Allah promised them was then proven."
Were We exhausted by the act of the first creation? And yet they are confused about a new creation.,14,50,أَفَعَيِينَا بِٱلْخَلْقِ ٱلْأَوَّلِ بَلْ هُمْ فِى لَبْسٍ مِّنْ خَلْقٍ جَدِيدٍ,"Am I then incapable of having created you in the first instance, that I am incapable of resurrecting you? Rather, they are in confusion about a new creation after their previous creation."
He created man and surely know what misdoubts arise in their hearts; for We are closer to him than his jugular vein.,15,50,وَلَقَدْ خَلَقْنَا ٱلْإِنسَٰنَ وَنَعْلَمُ مَا تُوَسْوِسُ بِهِۦ نَفْسُهُۥ وَنَحْنُ أَقْرَبُ إِلَيْهِ مِنْ حَبْلِ ٱلْوَرِيدِ,"And I have already created man and know what his soul whispers to him, and I am closer to him than [his] jugular vein. Verily, I created the human and I know the thoughts and desires that pass his mind. I am closer to him than the vein that is present in his neck and connected to his heart."
"When the two (angels) who keep the account, one sitting on the right, one on the left, take it down,",16,50,إِذْ يَتَلَقَّى ٱلْمُتَلَقِّيَانِ عَنِ ٱلْيَمِينِ وَعَنِ ٱلشِّمَالِ قَعِيدٌ,"When the two receivers receive, seated on the right and on the left. When the two receiving angels receive his deeds: one sitting on his right, and the other seated on his left."
There is not a word he utters but an observer is ready (to make note of it).,17,50,مَّا يَلْفِظُ مِن قَوْلٍ إِلَّا لَدَيْهِ رَقِيبٌ عَتِيدٌ,"Man does not utter any word except that with him is an observer prepared [to record]. He does not utter any statement except that there is an angel anticipating whatever he says, present."
The palsy of death will surely come. This is what you wished to avert.,18,50,وَجَآءَتْ سَكْرَةُ ٱلْمَوْتِ بِٱلْحَقِّ ذَٰلِكَ مَا كُنتَ مِنْهُ تَحِيدُ,And the intoxication of death will bring the truth; that is what you were trying to avoid. The pangs of death are a reality and will come; there is no escaping from them. O negligent human! That is what you used to turn away from and delay.
And the trumpet blast will sound: It would be the Day of Doom.,19,50,وَنُفِخَ فِى ٱلصُّورِ ذَٰلِكَ يَوْمُ ٱلْوَعِيدِ,"And the Horn will be blown. That is the Day of [carrying out] the threat. The angel appointed to blow the trumpet will blow for the second time. That is the Day of Judgement, the day of the punishment the disbelievers and sinners have been warned of."
Each soul will come with a driver and a witness.,20,50,وَجَآءَتْ كُلُّ نَفْسٍ مَّعَهَا سَآئِقٌ وَشَهِيدٌ,"And every soul will come, with it a driver and a witness. Each soul will come with an angel driving it, and an angel testifying against it for its deeds."
"(And the driver will say:) ""You were oblivious of this, so we have removed the veil, and how keen is your sight today!""",21,50,لَّقَدْ كُنتَ فِى غَفْلَةٍ مِّنْ هَٰذَا فَكَشَفْنَا عَنكَ غِطَآءَكَ فَبَصَرُكَ ٱلْيَوْمَ حَدِيدٌ,"[It will be said], “You were certainly in heedlessness of this, and I have removed from you your cover, so your sight, this Day, is sharp.” It will be said to this human who is being driven, verily, in the world you were in neglect regarding this day because of you being deceived by your desires and pleasures. So I have removed your neglect from you by the punishment and horror you see before you. Your eyesight is sharp today; you now see everything you were neglectful of!"
"His companion will say: ""Here is (the record) I have ready with me.""",22,50,وَقَالَ قَرِينُهُۥ هَٰذَا مَا لَدَىَّ عَتِيدٌ,"And his companion, [the angel], will say, “This [record] is what is with me, prepared.” His companion, the angel appointed to him will say, “These are his actions I have with me that I present, without any increase nor decrease.”"
"""Cast each stubborn unbeliever into Hell,"" (they will be told),",23,50,أَلْقِيَا فِى جَهَنَّمَ كُلَّ كَفَّارٍ عَنِيدٍ,"[Allah will say], “Throw into Hell every obstinate disbeliever, Allah will say to the two angels: the driver and the testifier, “Throw into hell every stubborn rejector of the truth.”"
"""Every obstructor of good, transgressor, and the sceptic,",24,50,مَّنَّاعٍ لِّلْخَيْرِ مُعْتَدٍ مُّرِيبٍ,"Preventer of good, aggressor, and doubter, “Who is frequent preventer of the truth Allah has made obligatory on him, transgressor of the limits of Allah, doubter in whatever promise or warning he is given.”"
"Who had set up another god with God. Cast him into severe torment.""",25,50,ٱلَّذِى جَعَلَ مَعَ ٱللَّهِ إِلَٰهًا ءَاخَرَ فَأَلْقِيَاهُ فِى ٱلْعَذَابِ ٱلشَّدِيدِ,Who made [as equal] with Allah another deity; then throw him into the severe punishment. “The one who attributes another deity with Allah and makes him a partner in worship. So throw him into the severe punishment.”
"His companion will say: ""O Lord, I did not lead him to wickedness, but he was himself far astray.""",26,50,قَالَ قَرِينُهُۥ رَبَّنَا مَآ أَطْغَيْتُهُۥ وَلَٰكِن كَانَ فِى ضَلَٰلٍۭ بَعِيدٍ,"His [satan] companion will say, “Our Lord, I did not make him transgress, but he [himself] was in extreme error.” His companion from the satans will say, proclaiming innocence from him, “O my Lord! I did not lead him astray; he himself was in deviance, far away from the truth.”"
"""Do not argue in My presence. I had announced the promise of doom in advance.",27,50,قَالَ لَا تَخْتَصِمُوا۟ لَدَىَّ وَقَدْ قَدَّمْتُ إِلَيْكُم بِٱلْوَعِيدِ,"[Allah] will say, “Do not dispute before Me, while I had already presented to you the warning. Allah will say: “Do not argue in front of Me; there is no benefit in that, because I gave the message to you in the world beforehand with the severe warnings that My messengers brought to you for those who disbelieved in Me and disobeyed Me."
"There is no changing of My word, nor am I unjust to My creatures.""",28,50,مَا يُبَدَّلُ ٱلْقَوْلُ لَدَىَّ وَمَآ أَنَا۠ بِظَلَّٰمٍ لِّلْعَبِيدِ,"The word will not be changed with Me, and never will I be unjust to the servants.” The statement cannot be changed with Me, and I do not turn back on My promise. I do not oppress My servants by decreasing their good deeds, nor by increasing their evil deeds. Rather, I requite them for whatever they have done."
"We shall ask Hell that day: ""Are you full?"" It will answer: ""Are there still more?""",29,50,يَوْمَ نَقُولُ لِجَهَنَّمَ هَلِ ٱمْتَلَأْتِ وَتَقُولُ هَلْ مِن مَّزِيدٍ,"On the Day I will say to Hell, “Have you been filled?” and it will say, “Are there some more,” On the day I will say to hell, “Are you full with all the disbelievers and sinners that have been thrown into you?” It will reply to its Lord, saying, “Is there any more?” asking for more, angry for its Lord."
"And Paradise will be brought near, not far from those who took heed for themselves and feared God.",30,50,وَأُزْلِفَتِ ٱلْجَنَّةُ لِلْمُتَّقِينَ غَيْرَ بَعِيدٍ,"And Paradise will be brought near to the righteous, not far, And Paradise will be brought close for those who were mindful of their Lord by fulfilling His commands and refraining from things he did not allow. They will see all the blessings within it, without it being far from them."
"""This is what you had been promised,"" (will be said) to every penitent who remembered (his duty),",31,50,هَٰذَا مَا تُوعَدُونَ لِكُلِّ أَوَّابٍ حَفِيظٍ,"[It will be said], “This is what you were promised - for every returner [to Allah] and keeper [of His covenant] It will be said to them: “This is what Allah promised every one of you who frequently repents to his Lord and upholds whatever his Lord made obligatory upon him.”"
"Who feared Ar-Rahman in secret, and came with a penitent heart:",32,50,مَّنْ خَشِىَ ٱلرَّحْمَٰنَ بِٱلْغَيْبِ وَجَآءَ بِقَلْبٍ مُّنِيبٍ,"Who feared the Merciful in private and came with a heart repenting heart. Whoever fears Allah in private, where none can see him except Allah, and meets Allah with a pure heart while having frequently turned to Him in humility."
"""Enter it in peace. This is the day of life abiding.""",33,50,ٱدْخُلُوهَا بِسَلَٰمٍ ذَٰلِكَ يَوْمُ ٱلْخُلُودِ,"Enter it in peace. This is the Day of Eternity.” It will be said to them: “Enter into Paradise in total safety from everything you dislike. It is a day of eternity, one which is everlasting.”"
Theirs will be whatsoever they wish: And with Us there is more.,34,50,لَهُم مَّا يَشَآءُونَ فِيهَا وَلَدَيْنَا مَزِيدٌ,"They will have whatever they wish therein, and with Me is more. They will have every everlasting blessing they desire in it, and I have many more blessings for them that no eye has ever seen, nor any ear has ever heard of, nor any heart of man has ever imagined. One of them is seeing Me may I be glorified."
How many generations have We destroyed before them who were mightier in power than they. Then they searched throughout the land to see if there was a way of escape.,35,50,وَكَمْ أَهْلَكْنَا قَبْلَهُم مِّن قَرْنٍ هُمْ أَشَدُّ مِنْهُم بَطْشًا فَنَقَّبُوا۟ فِى ٱلْبِلَٰدِ هَلْ مِن مَّحِيصٍ,"How many nations there were which I destroyed before these denying idolaters amongst the people of Makkah. They searched in the lands hoping to find a place to run to, but they did not find it."
"Surely there is a reminder in this for whosoever has a heart (to feel), or takes heed.",36,50,إِنَّ فِى ذَٰلِكَ لَذِكْرَىٰ لِمَن كَانَ لَهُۥ قَلْبٌ أَوْ أَلْقَى ٱلسَّمْعَ وَهُوَ شَهِيدٌ,"In that destruction of the previous nations which has been mentioned are a reminder and lesson for one who has a heart to understand with, or who listens attentively with presence of mind, and not absentmindedly."
